Date,PE,BEstEPS,SPX,,
1927/12/30,,,17.66,,
1928/1/31,,,17.57,,
1928/2/29,,,17.26,,
1928/3/30,,,19.28,,
1928/4/30,,,19.75,,
1928/5/31,,,20,,
1928/6/29,,,19.14,,
1928/7/31,,,19.43,,
1928/8/31,,,20.87,,
1928/9/28,,,21.14,,
1928/10/31,,,21.68,,
1928/11/30,,,24.28,,
1928/12/31,,,24.35,,
1929/1/31,,,25.74,,
1929/2/28,,,25.59,,
1929/3/29,,,25.53,,
1929/4/30,,,25.94,,
1929/5/31,,,24.83,,
1929/6/28,,,27.41,,
1929/7/31,,,28.88,,
1929/8/30,,,31.71,,
1929/9/30,,,30.16,,
1929/10/31,,,24.15,,
1929/11/29,,,20.92,,
1929/12/31,,,21.45,,
1930/1/31,,,22.79,,
1930/2/28,,,23.28,,
1930/3/31,,,25.14,,
1930/4/30,,,24.9,,
1930/5/30,,,24.49,,
1930/6/30,,,20.46,,
1930/7/31,,,21.21,,
1930/8/29,,,21.37,,
1930/9/30,,,18.59,,
1930/10/31,,,16.94,,
1930/11/28,,,16.38,,
1930/12/31,,,15.34,,
1931/1/30,,,16.19,,
1931/2/27,,,18.03,,
1931/3/31,,,16.69,,
1931/4/30,,,15.09,,
1931/5/29,,,13.02,,
1931/6/30,,,14.83,,
1931/7/31,,,13.73,,
1931/8/31,,,13.86,,
1931/9/30,,,9.71,,
1931/10/30,,,10.43,,
1931/11/30,,,9.5,,
1931/12/31,,,8.12,,
1932/1/29,,,7.94,,
1932/2/29,,,8.29,,
1932/3/31,,,7.31,,
1932/4/29,,,5.83,,
1932/5/31,,,4.47,,
1932/6/30,,,4.43,,
1932/7/29,,,6.03,,
1932/8/31,,,8.39,,
1932/9/30,,,8.08,,
1932/10/31,,,6.96,,
1932/11/30,,,6.55,,
1932/12/30,,,6.92,,
1933/1/31,,,6.94,,
1933/2/28,,,5.66,,
1933/3/31,,,5.85,,
1933/4/28,,,7.83,,
1933/5/31,,,9.64,,
1933/6/30,,,10.91,,
1933/7/31,,,9.95,,
1933/8/31,,,11.09,,
1933/9/29,,,9.72,,
1933/10/31,,,8.96,,
1933/11/30,,,9.88,,
1933/12/29,,,9.97,,
1934/1/31,,,11.17,,
1934/2/28,,,10.76,,
1934/3/30,,,10.62,,
1934/4/30,,,10.46,,
1934/5/31,,,9.61,,
1934/6/29,,,9.81,,
1934/7/31,,,8.68,,
1934/8/31,,,9.15,,
1934/9/28,,,9.08,,
1934/10/31,,,8.81,,
1934/11/30,,,9.54,,
1934/12/31,,,9.5,,
1935/1/31,,,9.1,,
1935/2/28,,,8.74,,
1935/3/29,,,8.45,,
1935/4/30,,,9.28,,
1935/5/31,,,9.58,,
1935/6/28,,,10.24,,
1935/7/31,,,11.08,,
1935/8/30,,,11.24,,
1935/9/30,,,11.59,,
1935/10/31,,,12.46,,
1935/11/29,,,12.94,,
1935/12/31,,,13.43,,
1936/1/31,,,14.31,,
1936/2/28,,,14.6,,
1936/3/31,,,14.92,,
1936/4/30,,,13.77,,
1936/5/29,,,14.4,,
1936/6/30,,,14.84,,
1936/7/31,,,15.85,,
1936/8/31,,,15.99,,
1936/9/30,,,16.01,,
1936/10/30,,,17.23,,
1936/11/30,,,17.28,,
1936/12/31,,,17.18,,
1937/1/29,,,17.77,,
1937/2/26,,,18.06,,
1937/3/31,,,17.92,,
1937/4/30,,,16.43,,
1937/5/31,,,16.26,,
1937/6/30,,,15.4,,
1937/7/30,,,16.77,,
1937/8/31,,,16.04,,
1937/9/30,,,13.76,,
1937/10/29,,,12.35,,
1937/11/30,,,11.11,,
1937/12/31,,,10.55,,
1938/1/31,,,10.69,,
1938/2/28,,,11.34,,
1938/3/31,,,8.5,,
1938/4/29,,,9.78,,
1938/5/31,,,9.27,,
1938/6/30,,,11.56,,
1938/7/29,,,12.33,,
1938/8/31,,,12.06,,
1938/9/30,,,12.24,,
1938/10/31,,,13.17,,
1938/11/30,,,12.73,,
1938/12/30,,,13.14,,
1939/1/31,,,12.3,,
1939/2/28,,,12.7,,
1939/3/31,,,10.98,,
